account,ticker,exchange,qty,avg_cost,ccy
reer-cad,ETHH.B,TSX,3558,10.31558,CAD
reer-cad,SOLQ,TSX,3536,11.1159,CAD
reer-cad,ETHX.B,TSX,3446,10.77494,CAD
reer-cad,ETHY.B,TSX,2555,3.72515,CAD
reer-cad,COPR,TSX,1600,0.495,CAD
reer-cad,HCAL,TSX,361,25.279,CAD
reer-cad,URC,TSX,200,5.475,CAD
reer-cad,CSH.UN,TSX,138,17.01268,CAD
reer-cad,DND,TSX,125,6.986,CAD
reer-cad,VLE,TSX,120,4.32317,CAD
reer-cad,THX,TSX,119,1.42076,CAD
reer-cad,BTCY.B,TSX,100,5.03,CAD
reer-cad,DHT.UN,TSX,98,11.88061,CAD
reer-cad,AP.UN,TSX,89,16.1718,CAD
reer-cad,LSPD,TSX,49,19.32918,CAD
reer-cad,MDA,TSX,45,39.60,CAD
reer-cad,SHLD,TSX,40,28.44,CAD
reer-cad,BTCC.B,TSX,38,16.38947,CAD
reer-cad,ATD,TSX,32,84.22,CAD
reer-cad,ZWP,TSX,31,19.30355,CAD
reer-cad,ADEN,TSX,30,29.72,CAD
reer-cad,QQC,TSX,21,51.07,CAD
reer-cad,ASML,TSX,20,47.40,CAD
reer-cad,FCUV,TSX,20,27.29,CAD
reer-cad,LAC,TSX,20,7.57,CAD
reer-cad,ENB,TSX,15,56.01533,CAD
reer-cad,MDI,TSX,15,8.54533,CAD
reer-cad,TECK.B,TSX,14,75.96,CAD
reer-cad,ZGI,TSX,10,53.00,CAD
reer-cad,EFX,TSX,10,31.59,CAD
reer-cad,X,TSX,7,45.88143,CAD
reer-cad,BTCC,TSX,6,14.55,CAD
reer-cad,DRM,TSX,3,22.15,CAD
reer-cad,XCH,TSX,1,24.60,CAD
celi-cad,SOLQ,TSX,1575,11.47139,CAD
celi-cad,ETHX.B,TSX,1419,11.29871,CAD
celi-cad,ETHH.B,TSX,1445,10.30268,CAD
celi-cad,ETHY.B,TSX,507,3.2511,CAD
celi-cad,COPR,TSX,1125,0.45489,CAD
celi-cad,BIGT,TSX,1000,0.0075,CAD
celi-cad,VLE,TSX,130,4.28792,CAD
celi-cad,MNC,TSX,110,0.11682,CAD
celi-cad,HCAL,TSX,102,35.12059,CAD
celi-cad,URC,TSX,100,5.475,CAD
celi-cad,GPUS,TSX,100,0.23,CAD
celi-cad,PNG,TSX,55,5.79273,CAD
celi-cad,LSPD,TSX,46,24.35,CAD
celi-cad,KEY,TSX,39,50.55333,CAD
celi-cad,ZWU,TSX,34,11.65706,CAD
celi-cad,MDA,TSX,30,39.61,CAD
celi-cad,FRSH,TSX,24,0.385,CAD
celi-cad,SHLD,TSX,20,28.44,CAD
celi-cad,FCUV,TSX,20,27.30,CAD
celi-cad,AP.UN,TSX,20,10.37,CAD
celi-cad,X,TSX,20,29.30,CAD
celi-cad,TSLA,TSX,20,37.76,CAD
celi-cad,ATD,TSX,17,73.32176,CAD
celi-cad,NVDA,TSX,16,48.09,CAD
celi-cad,RUS,TSX,15,48.57,CAD
celi-cad,ENB,TSX,13,67.86538,CAD
celi-cad,ASML,TSX,10,47.40,CAD
celi-cad,QQC,TSX,10,51.06,CAD
celi-cad,LAC,TSX,10,7.57,CAD
celi-cad,DFSC,TSX,10,4.11,CAD
celi-cad,CJT,TSX,9,129.87111,CAD
celi-cad,MTCH,TSX,9,58.46222,CAD
celi-cad,MTY,TSX,8,44.145,CAD
celi-cad,X.TMX,TSX,7,45.88,CAD
celi-cad,BNS,TSX,6,82.375,CAD
celi-cad,ZGI,TSX,6,53.01,CAD
celi-cad,CNR,TSX,5,145.852,CAD
celi-cad,EFX,TSX,5,31.59,CAD
celi-cad,MTL,TSX,5,11.75,CAD
celi-cad,DRM,TSX,4,23.48,CAD
celi-cad,MATR,TSX,4,14.7925,CAD
celi-cad,GSY,TSX,2,36.17,CAD
celi-cad,BIP.UN,TSX,1,44.71,CAD
